id,tweet,label
id_1,I hate you,1
id_2,You are terrible,1
id_3,Have a nice day,0
id_4,I love my friends,0
id_5,Go back to your country,1
id_6,Thank you so much,0
id_7,You are disgusting,1
id_8,This is awesome,0
id_9,I hope you die,1
id_10,Have a great weekend,0
id_11,You people are trash,1
id_12,Good morning everyone,0
id_13,I will hurt you,1
id_14,Stay blessed,0
id_15,I despise them,1
id_16,Nice to meet you,0
id_17,They should be banned,1
id_18,Welcome home,0
id_19,You are a disgrace,1
id_20,Enjoy your meal,0
id_21,They are worthless,1
id_22,All the best,0
id_23,I can't stand them,1
id_24,Good luck,0
id_25,I wish you were dead,1
id_26,How are you doing?,0
id_27,I loathe this group,1
id_28,Happy birthday,0
id_29,You are the worst,1
id_30,Have fun,0
id_31,I hate them so much,1
id_32,Take care,0
id_33,You make me sick,1
id_34,See you soon,0
id_35,You are pathetic,1
id_36,Good job,0
id_37,I despise you,1
id_38,Have a good night,0
id_39,I want to hurt you,1
id_40,Hello there,0
id_41,I cannot tolerate them,1
id_42,Enjoy,0
id_43,You are trash,1
id_44,Welcome,0
id_45,I hate everyone like you,1
id_46,How's it going?,0
id_47,I wish bad things happen,1
id_48,You look great,0
id_49,They are disgusting,1
id_50,Keep smiling,0
id_51,You are a menace,1
id_52,Have a wonderful day,0
id_53,I wish you ill,1
id_54,Wishing you well,0
id_55,You are a burden,1
id_56,Stay strong,0
id_57,I want to see you suffer,1
id_58,Sending good vibes,0
id_59,You are a joke,1
id_60,Take it easy,0
id_61,They are a plague,1
id_62,You're doing great,0
id_63,I hope you fail,1
id_64,Keep up the good work,0
id_65,You are a disgrace to humanity,1
id_66,Have a peaceful evening,0
id_67,I wish you were never born,1
id_68,Bless your heart,0
id_69,You are a mistake,1
id_70,You are so kind,0
id_71,I want to punch you,1
id_72,Stay positive,0
id_73,You are a cancer,1
id_74,You are inspiring,0
id_75,I hope you get hit by a bus,1
id_76,Have a productive day,0
id_77,You are a waste of space,1
id_78,You are brilliant,0
id_79,I want to destroy you,1
id_80,Keep shining,0
id_81,You are pure evil,1
id_82,You are a true friend,0
id_83,I wish you were gone,1
id_84,You are a gift,0
id_85,You are a demon,1
id_86,You are a blessing,0
id_87,I want to see you cry,1
id_88,You are a joy,0
id_89,You are a monster,1
id_90,You are amazing,0
id_91,I hate your guts,1
id_92,Have a lovely time,0
id_93,You are a scumbag,1
id_94,You are wonderful,0
id_95,I hope you suffer,1
id_96,You are fantastic,0
id_97,You are a germ,1
id_98,You are incredible,0
id_99,I wish you pain,1
id_100,You are awesome,0
id_101,You are a viper,1
id_102,Have a beautiful day,0
id_103,I hope you rot,1
id_104,You are a star,0
id_105,You are a parasite,1
id_106,You are a champion,0
id_107,I want to crush you,1
id_108,You are a treasure,0
id_109,You are a plague on society,1
